date,action,symbol,price,reason,pnl
2021-10-08,SELL,IT,304.1,below_50ma,4194.9
2021-10-08,BUY,APA,21.23,momentum=94.6%,0.0
2021-11-18,SELL,MPC,56.96,below_50ma,258.91
2021-11-18,SELL,APA,24.09,trailing_stop,2374.64
2021-11-18,BUY,BX,126.71,momentum=132.6%,0.0
2021-11-18,BUY,TPL,134.47,momentum=120.4%,0.0
2021-11-19,SELL,TPL,130.84,below_50ma,-217.52
2021-11-19,BUY,APA,22.71,momentum=143.6%,0.0
2021-11-30,SELL,TRGP,47.0,trailing_stop,1950.11
2021-11-30,SELL,OKE,47.44,below_50ma,1489.81
2021-11-30,SELL,APA,22.51,below_50ma,-141.42
2021-11-30,BUY,FIX,93.16,momentum=85.5%,0.0
2021-11-30,BUY,PANW,91.16,momentum=72.4%,0.0
2021-11-30,BUY,WSM,89.63,momentum=72.1%,0.0
2021-12-01,SELL,WSM,85.88,below_50ma,-356.16
2021-12-01,BUY,ANET,30.35,momentum=81.1%,0.0
2021-12-06,SELL,PANW,83.54,below_50ma,-1036.32
2021-12-06,BUY,TPL,132.7,momentum=108.7%,0.0
2021-12-09,SELL,BX,115.61,trailing_stop,-1331.55
2021-12-09,BUY,ODFL,173.45,momentum=74.0%,0.0
2021-12-13,SELL,TPL,131.08,below_50ma,-145.68
2021-12-13,BUY,AMAT,141.69,momentum=78.2%,0.0
2021-12-14,SELL,DVN,32.89,below_50ma,8173.45
2021-12-14,BUY,CF,56.83,momentum=75.0%,0.0
2021-12-20,SELL,FIX,91.58,below_50ma,-308.3
2021-12-20,SELL,ODFL,163.23,below_50ma,-817.52
2021-12-20,BUY,WST,434.1,momentum=62.8%,0.0
2021-12-20,BUY,TSCO,41.23,momentum=56.8%,0.0
2022-01-04,SELL,WST,424.18,below_50ma,-347.11
2022-01-04,BUY,DVN,38.86,momentum=141.0%,0.0
2022-01-07,SELL,ANET,32.37,trailing_stop,1686.76
2022-01-07,SELL,AMAT,145.27,below_50ma,300.19
2022-01-07,BUY,TRGP,50.89,momentum=80.5%,0.0
2022-01-07,BUY,OKE,49.52,momentum=61.0%,0.0
2022-01-10,SELL,OKE,48.19,below_50ma,-270.38
2022-01-10,BUY,ANET,32.88,momentum=65.3%,0.0
2022-01-11,SELL,TSCO,41.88,below_50ma,127.9
2022-01-11,BUY,PSA,297.71,momentum=61.4%,0.0
2022-01-13,SELL,CF,59.88,trailing_stop,1424.24
2022-01-13,SELL,ANET,32.8,below_50ma,-51.34
2022-01-13,BUY,TSCO,42.81,momentum=52.1%,0.0
2022-01-13,BUY,EOG,84.68,momentum=50.8%,0.0
2022-01-14,SELL,TSCO,41.17,below_50ma,-878.55
2022-01-14,BUY,CF,60.67,momentum=46.3%,0.0
2022-01-20,SELL,CF,58.71,below_50ma,-1088.39
2022-01-20,BUY,APA,27.4,momentum=55.5%,0.0
2022-01-26,SELL,PSA,285.67,below_50ma,-349.05
2022-01-26,BUY,CF,61.91,momentum=80.3%,0.0
2022-02-22,SELL,APA,27.21,trailing_stop,-220.02
2022-02-22,BUY,HSY,182.62,momentum=37.5%,0.0
2022-03-14,SELL,DVN,43.68,trailing_stop,2816.09
2022-03-14,BUY,APA,32.95,momentum=66.0%,0.0
2022-04-22,SELL,EOG,97.82,below_50ma,1866.52
2022-04-22,SELL,CF,88.86,trailing_stop,4124.14
